,0,1,2,3,4,5,6
0,15,pa3-A-Output.txt,NaN,NaN,NaN,NaN,NaN
1,5.7577071779665,19.75264401923238,-3.0177679650189333,5.7562972567313215,19.753256210903526,-3.018339152737298,0.0016397902125691323
2,17.906658935938406,25.328381022358986,-18.84286624293088,17.907307189433492,25.324097885702397,-18.84303763737587,0.004335304864560497
3,-39.300088122123455,-22.32569893003119,-30.752565058218863,-39.303306593095684,-22.327729578504773,-30.753369711962197,0.0038896730285462805
4,-9.827567265024657,-13.442350123557869,-1.2212548891350679,-9.827553086208638,-13.442308554640846,-1.22128210275834,5.1668123420164795e-05
5,-24.992930759618584,-28.757794397290724,-38.54036667155349,-24.993141300023787,-28.760977545055354,-38.54293073258831,0.0040928188261840194
6,-41.37003445145586,-14.705598228102724,-29.901571330340985,-41.371319915467396,-14.705191860677928,-29.902406605677026,0.0015859499033362213
7,33.83443215944811,16.253350801184045,7.010859558195193,33.83171586090032,16.250871683708425,7.009496861603635,0.003921892815889252
8,-2.4850156894795052,-7.411324286617191,29.482011658904923,-2.4857998845100884,-7.416577274909629,29.483226749775177,0.005448421208887285
9,26.65360203717032,23.296557409118645,-10.089412959682107,26.6516260081081,23.292116182325405,-10.089174190220138,0.004866846734765905
10,3.4844071745598697,8.814666071086638,-14.49922851648175,3.4844541210618014,8.81624691108514,-14.499953811653075,0.0017399172855205244
11,-22.846998169137798,-12.857199305441437,-48.787973966636514,-22.84708254656,-12.857327846410719,-48.788364898118594,0.00042008303208142944
12,23.772363375750313,-6.191739265316364,13.768631187116057,23.7724806239244,-6.192261412072332,13.768725646990754,0.0005434216015427541
13,-6.247735519016516,10.365850604376048,2.0608739294408736,-6.248350939068756,10.36658107151776,2.0606407457272553,0.000983208385907526
14,-39.00797053415579,-17.63316542487695,-14.571146656124668,-39.00704022408019,-17.63273694819904,-14.57188052154616,0.0012600109353211688
15,-24.84466034283506,-11.013594146385994,-6.087981914795208,-24.84497245005618,-11.013602377788212,-6.086952972443756,0.0010752678903737894
